Strategy,Cost,Effect,Inc_Cost,Inc_Effect,ICER,Status
s3,57336.0059896538,12.9399639202408,NA,NA,NA,ND
s27,57541.2526373815,13.0140640696275,205.246647727639,0.0741001493866911,2769.85470915263,ND
s33,57642.2587507842,13.0389116321918,101.006113402713,0.0248475625643216,4065.03105249231,ND
s31,57934.0743411241,13.0966257932217,291.815590339931,0.0577141610298533,5056.2216470406,ND
s43,58072.1137208494,13.11285766912,138.039379725262,0.0162318758983169,8504.2160616553,ND
s44,58665.7823044647,13.1283328397025,593.668583615326,0.0154751705825014,38362.6519947134,ND
s39,57814.6470919581,13.0462790163185,NA,NA,NA,ED
s4,57887.481549326,12.9970657153765,NA,NA,NA,D
s13,58018.6252420203,13.0650412387992,NA,NA,NA,D
s37,58081.7947984323,13.1029711156978,NA,NA,NA,D
s20,58634.2026441398,13.1100568867995,NA,NA,NA,D
